timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,mid,width,sma_20,sma_50,sma_cross,target
2024-05-15,61577.49,66444.16,61319.47,66206.5,43559.74719,57.555285278943224,-440.1324148534768,-843.3517307693372,403.2193159158604,65936.63981198668,58731.219188013325,62333.929500000006,11.559387771267257,62333.929500000006,65181.4358,-2847.5062999999936,0
2024-05-16,66206.51,66752.01,64602.77,65235.21,31106.3671,54.878949925268905,-206.60899029159918,-716.0031826737896,509.39419238219045,66179.33394966456,58635.045050335444,62407.1895,12.088813740489178,62407.1895,65096.74019999999,-2689.5506999999925,1
2024-05-17,65235.21,67451.2,65106.38,67024.0,26292.23409,58.68888328438458,121.40097471034824,-548.5223511969621,669.9233259073103,66844.7112497188,58325.8697502812,62585.2905,13.611571395418556,62585.2905,65021.608199999995,-2436.3176999999923,0
2024-05-18,67024.0,67400.01,66600.0,66915.2,14441.25774,58.36606892461018,368.32614985762484,-365.1526509860447,733.4788008436695,67432.50719168887,58117.731808311124,62775.11949999999,14.838323618607763,62775.11949999999,64962.901399999995,-2187.7819000000018,0
2024-05-19,66915.2,67700.0,65857.25,66274.01,18025.30409,56.397286443735304,506.4395360857452,-190.83421357168675,697.273749657432,67778.5229574265,58012.5170425735,62895.52,15.527347440410699,62895.52,64896.738,-2001.2180000000008,1
2024-05-20,66274.0,71515.56,66060.31,71446.62,50816.7011,66.2792314873196,1021.5064963945551,51.63392842156165,969.8725679729935,69460.71327273612,57407.78872726388,63434.251000000004,19.000657145730678,63434.251000000004,64900.070199999995,-1465.8191999999908,0
2024-05-21,71446.62,71979.0,69162.94,70148.34,49607.4336,62.45337940528484,1309.8413912644828,303.2754209901459,1006.5659702743369,70252.86937039261,57793.969629607374,64023.419499999996,19.459909886233486,64023.419499999996,64910.041,-886.6215000000011,0
2024-05-22,70148.34,70666.0,68842.19,69166.62,27673.18026,59.64948678518473,1442.5039853504422,531.1211338622052,911.3828514882371,70705.23503329471,58352.2049667053,64528.72000000001,19.14346056544963,64528.72000000001,64984.09359999999,-455.37359999998444,0
2024-05-23,69166.62,70096.12,66312.16,67969.65,40513.17374,56.328884262264225,1434.5183370092418,711.8005744916126,722.7177625176292,71085.17834331571,58481.025656684295,64783.102,19.45592646463798,64783.102,65024.221,-241.11899999999878,1
2024-05-24,67969.66,69250.0,66600.12,68549.99,28095.83664,57.56240062210938,1458.2089163771307,861.0822428687161,597.1266735084146,71510.48115739918,58521.51784260082,65015.9995,19.978102951102606,65015.9995,65025.465,-9.465499999998428,1
2024-05-25,68549.99,69610.0,68500.0,69290.57,12130.39418,59.14815689753118,1519.2297530171927,992.7117448984116,526.5180081187812,72014.35051262418,58545.50548737582,65279.928,20.63244467004982,65279.928,65054.863999999994,225.06400000000576,0
2024-05-26,69290.56,69562.23,68128.01,68507.67,11872.11797,56.73462621043247,1487.2713799800113,1091.6236719147314,395.64770806527986,72348.24792241094,58745.85607758905,65547.052,20.752103153047816,65547.052,65047.0974,499.9545999999973,1
2024-05-27,68507.67,70687.56,68250.0,69436.43,23136.92737,58.87832751303952,1519.3729238399974,1177.1735222997847,342.19940154021265,72735.62969417992,59070.909305820096,65903.26950000001,20.73451058199749,65903.26950000001,65048.618200000004,854.651300000005,0
2024-05-28,69436.43,69591.81,67277.91,68398.39,32622.97042,55.56459654449874,1444.4023052250122,1230.6192788848302,213.783026340182,72818.6750064258,59708.39999357422,66263.5375,19.785051489066028,66263.5375,64984.18600000001,1279.351499999997,0
